source_area,linz_suburb,status,via,reason_if_not_mapped
Eden Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Eden Terrace,Eden Terrace,mapped,exact,
Eden Valley,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Ellerslie Central,Ellerslie,mapped,previous-mapping,
Ellerslie East,Ellerslie,mapped,previous-mapping,
Ellerslie South,Ellerslie,mapped,previous-mapping,
Ellerslie West,Ellerslie,mapped,previous-mapping,
Epsom Central-North,Epsom,mapped,previous-mapping,
Epsom Central-South,Epsom,mapped,previous-mapping,
Epsom East,Epsom,mapped,previous-mapping,
Epsom North,Epsom,mapped,previous-mapping,
Epsom South,Epsom,mapped,previous-mapping,
Fairview Heights,Fairview Heights,mapped,exact,
Farm Cove,Farm Cove,mapped,exact,
Favona East,Favona,mapped,strip-direction,
Favona North,Favona,mapped,strip-direction,
Favona West,Favona,mapped,strip-direction,
Ferguson,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Forrest Hill East,Forrest Hill,mapped,strip-direction,
Forrest Hill North,Forrest Hill,mapped,strip-direction,
Forrest Hill West,Forrest Hill,mapped,strip-direction,
Freemans Bay,Freemans Bay,mapped,exact,
Fruitvale,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Glamorgan,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Glen Eden Central,Glen Eden,mapped,strip-direction,
Glen Eden North,Glen Eden,mapped,strip-direction,
Glen Eden Rosier,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Glen Eden West,Glen Eden,mapped,strip-direction,
Glen Eden Woodglen,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Glen Innes East-Wai O Taiki Bay,Glen Innes,mapped,previous-mapping,
Glen Innes West,Glen Innes,mapped,previous-mapping,
Glenavon,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Glenbrook,,not mapped,,outer Auckland — outside coverage area
Glendene North,Glendene,mapped,strip-direction,
Glendene South,Glendene,mapped,strip-direction,
Glendowie North,Glendowie,mapped,previous-mapping,
Glendowie South,Glendowie,mapped,previous-mapping,
Glenfield Central,Glenfield,mapped,previous-mapping,
Glenfield East,Glenfield,mapped,previous-mapping,
Glenfield North,Glenfield,mapped,previous-mapping,
Glenfield South West,Glenfield,mapped,previous-mapping,
Glenfield West,Glenfield,mapped,previous-mapping,
Golflands,Golflands,mapped,exact,
Goodwood Heights,Goodwood Heights,mapped,exact,
Grafton,Grafton,mapped,exact,
Grange,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Green Bay North,Green Bay,mapped,strip-direction,
Green Bay South,Green Bay,mapped,strip-direction,
Greenhithe East,Greenhithe,mapped,strip-direction,
Greenhithe South,Greenhithe,mapped,strip-direction,
Greenhithe West,Greenhithe,mapped,strip-direction,
Greenlane North,Greenlane,mapped,previous-mapping,
Greenlane South,Greenlane,mapped,previous-mapping,
Grey Lynn Central,Grey Lynn,mapped,previous-mapping,
Grey Lynn East,Grey Lynn,mapped,previous-mapping,
Grey Lynn North,Grey Lynn,mapped,previous-mapping,
Grey Lynn West,Grey Lynn,mapped,previous-mapping,
Gulf Harbour North,,not mapped,,outer Auckland — outside coverage area
Gulf Harbour South,,not mapped,,outer Auckland — outside coverage area
Half Moon Bay North East,Half Moon Bay,mapped,strip-direction,
Half Moon Bay South East,Half Moon Bay,mapped,strip-direction,
Half Moon Bay West,Half Moon Bay,mapped,strip-direction,
Hamilton Estate,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Harania North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Harania South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Hatfields Beach,,not mapped,,outer Auckland — outside coverage area
Hauraki,Hauraki,mapped,exact,
Hauraki Plains South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Helensville,,not mapped,,outer Auckland — outside coverage area
Helensville Rural,,not mapped,,outer Auckland — outside coverage area
Henderson Central,Henderson,mapped,previous-mapping,
Henderson East,Henderson,mapped,previous-mapping,
Henderson Larnoch,Henderson,mapped,previous-mapping,
Henderson Lincoln South,Henderson,mapped,previous-mapping,
Henderson Lincoln West,Henderson,mapped,previous-mapping,
Henderson North,Henderson,mapped,previous-mapping,
Henderson North East,Henderson,mapped,previous-mapping,
Henderson Valley Park,Henderson,mapped,previous-mapping,
Herne Bay,Herne Bay,mapped,exact,
Highland Park (Auckland),Highland Park,mapped,strip-direction,
Hillcrest East (Auckland),Hillcrest,mapped,strip-direction,
Hillcrest North (Auckland),Hillcrest,mapped,strip-direction,
Hillcrest West (Auckland),Hillcrest,mapped,strip-direction,
Hillpark North,Hillpark,mapped,strip-direction,
Hillpark South,Hillpark,mapped,strip-direction,
Hillsborough East (Auckland),Hillsborough,mapped,previous-mapping,
Hillsborough North (Auckland),Hillsborough,mapped,previous-mapping,
Hillsborough South (Auckland),Hillsborough,mapped,previous-mapping,
Hillsborough West (Auckland),Hillsborough,mapped,previous-mapping,
Hilltop (Auckland),,not mapped,,outside 62 suburb coverage — small area or low rental activity
Hingaia,,not mapped,,outer Auckland — outside coverage area
Hobson Ridge Central,Auckland Central,mapped,previous-mapping,
Hobson Ridge North,Auckland Central,mapped,previous-mapping,
Hobson Ridge South,Auckland Central,mapped,previous-mapping,
Hobsonville,Hobsonville,mapped,exact,
Hobsonville Point,Hobsonville,mapped,previous-mapping,
Homai East,,not mapped,,outer Auckland — outside coverage area
Homai West,,not mapped,,outer Auckland — outside coverage area
Howick Central,Howick,mapped,previous-mapping,
Howick East,Howick,mapped,previous-mapping,
Howick West,Howick,mapped,previous-mapping,
Huntington Park,Huntington Park,mapped,exact,
Kaipara Hills,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Karaka Creek,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Karaka Lakes,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Karangahape,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Kaurilands,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Kawakawa Bay-Orere,,not mapped,,outer Auckland — outside coverage area
Kelston North,Kelston,mapped,strip-direction,
Kelston South,Kelston,mapped,strip-direction,
Kingseat-Karaka,,not mapped,,outer Auckland — outside coverage area
Kingsland,Kingsland,mapped,exact,
Kingsway,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Kohimarama,Kohimarama,mapped,exact,
Konini,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Kumeu Rural East,,not mapped,,outer Auckland — outside coverage area
Kumeu Rural West,,not mapped,,outer Auckland — outside coverage area
Kumeu-Huapai,,not mapped,,outer Auckland — outside coverage area
Laingholm,Laingholm,mapped,exact,
Leabank,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Long Bay,Long Bay,mapped,exact,
Lynfield North,Lynfield,mapped,strip-direction,
Lynfield South,Lynfield,mapped,strip-direction,
Mairangi Bay North,Mairangi Bay,mapped,strip-direction,
Mairangi Bay South,Mairangi Bay,mapped,strip-direction,
Mangawhai,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Mangere Bridge,Māngere Bridge,mapped,exact,
Mangere Bridge Ambury,Māngere Bridge,mapped,previous-mapping,
Mangere Central,Māngere,mapped,previous-mapping,
Mangere East,Māngere East,mapped,exact,
Mangere Mascot,Māngere,mapped,previous-mapping,
Mangere Mountain View,Māngere,mapped,previous-mapping,
Mangere North,Māngere,mapped,previous-mapping,
Mangere South,Māngere,mapped,previous-mapping,
Mangere South East,Māngere,mapped,previous-mapping,
Mangere West,Māngere,mapped,previous-mapping,
Manly East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Manly West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Manukau Central,Manukau City Centre,mapped,manual,
Manurewa Central,Manurewa,mapped,strip-direction,
Manurewa East,Manurewa East,mapped,exact,
Manurewa South,Manurewa,mapped,strip-direction,
Maraetai,Maraetai,mapped,exact,
Massey Central,Massey,mapped,previous-mapping,
Massey East,Massey,mapped,previous-mapping,
Massey Road North,Massey,mapped,previous-mapping,
Massey Road South,Massey,mapped,previous-mapping,
Massey Road West,Massey,mapped,previous-mapping,
Massey Royal Road West,Massey,mapped,previous-mapping,
Massey South,Massey,mapped,previous-mapping,
Massey West,Massey,mapped,previous-mapping,
Maungawhau,,not mapped,,outside 62 suburb coverage — small area or low rental activity
McLaren Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Meadowbank East,Meadowbank,mapped,previous-mapping,
Meadowbank West,Meadowbank,mapped,previous-mapping,
Mellons Bay,Mellons Bay,mapped,exact,
Mercury Bay North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Milford Central,Milford,mapped,previous-mapping,
Milford West,Milford,mapped,previous-mapping,
Millwater North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Millwater South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Mission Bay,Mission Bay,mapped,exact,
Mission Heights North,,not mapped,,outer Auckland — outside coverage area
Mission Heights South,,not mapped,,outer Auckland — outside coverage area
Morningside (Auckland),Morningside,mapped,strip-direction,
Mount Albert Central,Mount Albert,mapped,previous-mapping,
Mount Albert North,Mount Albert,mapped,previous-mapping,
Mount Albert South,Mount Albert,mapped,previous-mapping,
Mount Albert West,Mount Albert,mapped,previous-mapping,
Mount Eden East,Mount Eden,mapped,previous-mapping,
Mount Eden North,Mount Eden,mapped,previous-mapping,
Mount Eden North East,Mount Eden,mapped,previous-mapping,
Mount Eden South,Mount Eden,mapped,previous-mapping,
Mount Eden West,Mount Eden,mapped,previous-mapping,
Mount Roskill Central North,Mount Roskill,mapped,previous-mapping,
Mount Roskill Central South,Mount Roskill,mapped,previous-mapping,
Mount Roskill North,Mount Roskill,mapped,previous-mapping,
Mount Roskill South,Mount Roskill,mapped,previous-mapping,
Mount Roskill White Swan,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Mount St John,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Mount Wellington Central,Mount Wellington,mapped,strip-direction,
Mount Wellington East,Mount Wellington,mapped,strip-direction,
Mount Wellington Ferndale,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Mount Wellington North East,Mount Wellington,mapped,strip-direction,
Mount Wellington North West,Mount Wellington,mapped,strip-direction,
Mount Wellington South East,Mount Wellington,mapped,strip-direction,
Mount Wellington South West,Mount Wellington,mapped,strip-direction,
Mount Wellington West,Mount Wellington,mapped,strip-direction,
Murrays Bay East,Murrays Bay,mapped,strip-direction,
Murrays Bay West,Murrays Bay,mapped,strip-direction,
Narrow Neck,Narrow Neck,mapped,exact,
New Lynn Central,New Lynn,mapped,previous-mapping,
New Lynn Central South,New Lynn,mapped,previous-mapping,
New Lynn North,New Lynn,mapped,previous-mapping,
New Lynn North West,New Lynn,mapped,previous-mapping,
New Lynn Seabrook,New Lynn,mapped,previous-mapping,
New Lynn South,New Lynn,mapped,previous-mapping,
New Windsor North,New Windsor,mapped,strip-direction,
New Windsor South,New Windsor,mapped,strip-direction,
Newmarket,Newmarket,mapped,exact,
Ngatea,,not mapped,,outside 62 suburb coverage — small area or low rental activity
North Harbour,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Northcote Central (Auckland),Northcote,mapped,previous-mapping,
Northcote Point (Auckland),Northcote,mapped,previous-mapping,
Northcote South (Auckland),Northcote,mapped,previous-mapping,
Northcote Tuff Crater,Northcote,mapped,previous-mapping,
Northcross,Northcross,mapped,exact,
Northpark North,Northpark,mapped,strip-direction,
Northpark South,Northpark,mapped,strip-direction,
Okahukura Peninsula,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Okura Bush,,not mapped,,outside 62 suburb coverage — small area or low rental activity
One Tree Hill,One Tree Hill,mapped,exact,
Onehunga Central,Onehunga,mapped,previous-mapping,
Onehunga North,Onehunga,mapped,previous-mapping,
Onehunga West,Onehunga,mapped,previous-mapping,
Onehunga-Te Papapa Industrial,Onehunga,mapped,previous-mapping,
Oneroa East-Palm Beach,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Oneroa West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Onetangi,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Opaheke,,not mapped,,outer Auckland — outside coverage area
Orakei East,Ōrākei,mapped,strip-direction,
Orakei West,Ōrākei,mapped,strip-direction,
Oranga,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Oratia,Oratia,mapped,exact,
Orewa Central,,not mapped,,outer Auckland — outside coverage area
Orewa North,,not mapped,,outer Auckland — outside coverage area
Orewa South,,not mapped,,outer Auckland — outside coverage area
Ormiston East,Flat Bush,mapped,previous-mapping,
Ormiston North,Flat Bush,mapped,previous-mapping,
Ormiston South,Flat Bush,mapped,previous-mapping,
Ostend,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Otahuhu Central,Ōtāhuhu,mapped,previous-mapping,
Otahuhu East,Ōtāhuhu,mapped,previous-mapping,
Otahuhu North,Ōtāhuhu,mapped,previous-mapping,
Otahuhu South,Ōtāhuhu,mapped,previous-mapping,
Otahuhu South West,Ōtāhuhu,mapped,previous-mapping,
Otara Central,Ōtara,mapped,previous-mapping,
Otara East,Ōtara,mapped,previous-mapping,
Otara South,Ōtara,mapped,previous-mapping,
Otara West,Ōtara,mapped,previous-mapping,
Oteha East,Oteha,mapped,strip-direction,
Oteha West,Oteha,mapped,strip-direction,
Owairaka East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Owairaka West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Paeroa,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Paeroa Rural,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Pahurehure,,not mapped,,outer Auckland — outside coverage area
Pakuranga Central,Pakuranga,mapped,previous-mapping,
Pakuranga Heights East,Pakuranga,mapped,previous-mapping,
Pakuranga Heights North West,Pakuranga,mapped,previous-mapping,
Pakuranga Heights South West,Pakuranga,mapped,previous-mapping,
Pakuranga West,Pakuranga,mapped,previous-mapping,
Panmure East,Panmure,mapped,previous-mapping,
Panmure Glen Innes Industrial,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Panmure West,Panmure,mapped,previous-mapping,
Papakura Central,,not mapped,,outer Auckland — outside coverage area
Papakura East,,not mapped,,outer Auckland — outside coverage area
Papakura Kelvin,,not mapped,,outer Auckland — outside coverage area
Papakura Massey Park,,not mapped,,outer Auckland — outside coverage area
Papakura North,,not mapped,,outer Auckland — outside coverage area
Papakura North East,,not mapped,,outer Auckland — outside coverage area
Papakura West,,not mapped,,outer Auckland — outside coverage area
Papatoetoe Central,Papatoetoe,mapped,previous-mapping,
Papatoetoe East,Papatoetoe,mapped,previous-mapping,
Papatoetoe North,Papatoetoe,mapped,previous-mapping,
Papatoetoe South,Papatoetoe,mapped,previous-mapping,
Papatoetoe South West,Papatoetoe,mapped,previous-mapping,
Papatoetoe West,Papatoetoe,mapped,previous-mapping,
Parakai,,not mapped,,outer Auckland — outside coverage area
Paremoremo East,Pāremoremo,mapped,strip-direction,
Parnell East,Parnell,mapped,previous-mapping,
Parnell West,Parnell,mapped,previous-mapping,
Patumahoe,,not mapped,,outer Auckland — outside coverage area
Pauanui,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Penrose,Penrose,mapped,exact,
Piha,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Pinehill,Pinehill,mapped,exact,
Point Chevalier East,Point Chevalier,mapped,previous-mapping,
Point Chevalier West,Point Chevalier,mapped,previous-mapping,
Point England,Point England,mapped,exact,
Ponsonby East,Ponsonby,mapped,previous-mapping,
Ponsonby West,Ponsonby,mapped,previous-mapping,
Puhinui East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Puhinui North,Wiri,mapped,manual,
Puhinui South,Wiri,mapped,manual,
Puhoi Valley,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Pukekohe Central,,not mapped,,outer Auckland — outside coverage area
Pukekohe Hospital,,not mapped,,outer Auckland — outside coverage area
Pukekohe North West,,not mapped,,outer Auckland — outside coverage area
Pukekohe West,,not mapped,,outer Auckland — outside coverage area
Puni,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Quay Street-Customs Street,Auckland Central,mapped,previous-mapping,
Queen Street,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Queen Street South West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Ramarama,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Randwick Park East,Randwick Park,mapped,strip-direction,
Randwick Park West,Randwick Park,mapped,strip-direction,
Ranui Domain,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Ranui North,Rānui,mapped,strip-direction,
Ranui South East,Rānui,mapped,strip-direction,
Ranui South West,Rānui,mapped,strip-direction,
Red Beach East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Red Beach West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Red Hill,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Redcastle,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Remuera Abbotts Park,Remuera,mapped,previous-mapping,
Remuera East,Remuera,mapped,previous-mapping,
Remuera North,Remuera,mapped,previous-mapping,
Remuera South,Remuera,mapped,previous-mapping,
Remuera Waiata,Remuera,mapped,previous-mapping,
Remuera Waiatarua,Remuera,mapped,previous-mapping,
Remuera Waitaramoa,Remuera,mapped,previous-mapping,
Remuera West,Remuera,mapped,previous-mapping,
Riverhead,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Rongomai East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Rongomai West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Rooseville Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Rosa Birch Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Rosehill,,not mapped,,outer Auckland — outside coverage area
Rothesay Bay,Rothesay Bay,mapped,exact,
Rowandale East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Rowandale West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Royal Heights North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Royal Heights South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Royal Oak East (Auckland),Royal Oak,mapped,previous-mapping,
Royal Oak West (Auckland),Royal Oak,mapped,previous-mapping,
Saint Heliers North,Saint Heliers,mapped,previous-mapping,
Saint Heliers South,Saint Heliers,mapped,previous-mapping,
Saint Heliers West,Saint Heliers,mapped,previous-mapping,
Saint Johns East,St Johns,mapped,strip-direction,
Saint Johns West,St Johns,mapped,strip-direction,
Saint Marys Bay,Saint Marys Bay,mapped,exact,
Sandringham Central,Sandringham,mapped,previous-mapping,
Sandringham East,Sandringham,mapped,previous-mapping,
Sandringham North,Sandringham,mapped,previous-mapping,
Sandringham West,Sandringham,mapped,previous-mapping,
Schnapper Rock,Schnapper Rock,mapped,exact,
Shelly Park,Shelly Park,mapped,exact,
Shortland Street,Auckland Central,mapped,previous-mapping,
Silverdale Central (Auckland),,not mapped,,outer Auckland — outside coverage area
Silverdale South (Auckland),,not mapped,,outer Auckland — outside coverage area
Snells Beach,,not mapped,,outer Auckland — outside coverage area
Somerville,Somerville,mapped,exact,
South Head,,not mapped,,outer Auckland — outside coverage area
St Lukes,Mount Albert,mapped,manual,
Stanley Point,Stanley Point,mapped,exact,
Stanmore Bay East,,not mapped,,outer Auckland — outside coverage area
Stanmore Bay West,,not mapped,,outer Auckland — outside coverage area
Stonefields East,Stonefields,mapped,strip-direction,
Stonefields West,Stonefields,mapped,strip-direction,
Summerland North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Summerland South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Sunkist Bay,Beachlands,mapped,previous-mapping,
Sunnyhills East,Sunnyhills,mapped,strip-direction,
Sunnyhills West-Pakuranga North,Pakuranga,mapped,previous-mapping,
Sunnynook North,Sunnynook,mapped,strip-direction,
Sunnynook South,Sunnynook,mapped,strip-direction,
Sunnyvale East,Sunnyvale,mapped,strip-direction,
Sunnyvale West-Parrs Park,Sunnyvale,mapped,strip-direction,
Surfdale,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Sutton Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Swanson,Swanson,mapped,exact,
Swanson Rural,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Symonds Street East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Symonds Street North West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Symonds Street West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Tairua,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Takanini North,Takanini,mapped,strip-direction,
Takanini South,Takanini,mapped,strip-direction,
Takanini South East,Takanini,mapped,strip-direction,
Takanini West,Takanini,mapped,strip-direction,
Takapuna Central,Takapuna,mapped,previous-mapping,
Takapuna South,Takapuna,mapped,previous-mapping,
Takapuna West,Takapuna,mapped,previous-mapping,
Tamakae,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Tamaki,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Taupaki,,not mapped,,outer Auckland — outside coverage area
Tawharanui Peninsula,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Te Atatu Peninsula Central,Te Atatū Peninsula,mapped,strip-direction,
Te Atatu Peninsula East,Te Atatū Peninsula,mapped,strip-direction,
Te Atatu Peninsula North West,Te Atatū Peninsula,mapped,strip-direction,
Te Atatu Peninsula West,Te Atatū Peninsula,mapped,strip-direction,
Te Atatu South-Central,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Te Atatu South-Edmonton,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Te Atatu South-McLeod North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Te Atatu South-McLeod South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Te Kuru,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Te Papapa,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Te Puru,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Thames Central,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Thames Coast,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Thames North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Thames South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
The Gardens (Auckland),The Gardens,mapped,strip-direction,
The Strand,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Three Kings East,Three Kings,mapped,previous-mapping,
Three Kings West,Three Kings,mapped,previous-mapping,
Tindalls-Matakatia,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Titirangi South,Titirangi,mapped,previous-mapping,
