source_area,master_suburb,status,reason_if_not_mapped
Tidal-Manukau Harbour North,,not mapped,water body / inlet / island
Tidal-Waitemata Harbour,,not mapped,water body / inlet / island
Torbay,,not mapped,outer Auckland — outside coverage area
Turanga,,not mapped,outside 62 suburb coverage — small area or low rental activity
Urlich,,not mapped,outside 62 suburb coverage — small area or low rental activity
Vipond,,not mapped,outer Auckland — outside coverage area
Viscount,,not mapped,outside 62 suburb coverage — small area or low rental activity
Wade Heads,,not mapped,outer Auckland — outside coverage area
Waiake,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waiata,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waiheke Island,,not mapped,water body / inlet / island
Waima,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waimauku,,not mapped,outer Auckland — outside coverage area
Waimumu North,,not mapped,outer Auckland — outside coverage area
Waimumu South,,not mapped,outer Auckland — outside coverage area
Waipareira West,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waitaramoa,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waiuku East,,not mapped,outer Auckland — outside coverage area
Waiuku West,,not mapped,outer Auckland — outside coverage area
Wakeling,,not mapped,outside 62 suburb coverage — small area or low rental activity
Warkworth,,not mapped,outer Auckland — outside coverage area
Wattle Farm,,not mapped,outer Auckland — outside coverage area
Weiti River,,not mapped,outside 62 suburb coverage — small area or low rental activity
Wellsford,,not mapped,outer Auckland — outside coverage area
Wesley,,not mapped,outside 62 suburb coverage — small area or low rental activity
Westgate,,not mapped,outside 62 suburb coverage — small area or low rental activity
Weymouth East,,not mapped,outer Auckland — outside coverage area
Weymouth West,,not mapped,outer Auckland — outside coverage area
Whangapouri Creek,,not mapped,outside 62 suburb coverage — small area or low rental activity
Windy Ridge,,not mapped,outside 62 suburb coverage — small area or low rental activity
Witheford,,not mapped,outside 62 suburb coverage — small area or low rental activity
Woodglen,,not mapped,outside 62 suburb coverage — small area or low rental activity
Wymondley,,not mapped,outside 62 suburb coverage — small area or low rental activity
